# Current, 452A peak. Data is time shifted: t=0s here corresponds to -1.499693e-07s in real measurement
# Time / s, Current / A
-1.000000e-20   0.0001e+00
0.000000000000000000e+00 0.000000000000000000e+00
6.000000999999999121e-08 7.407740000000000435e+00
1.200000099999999991e-07 8.420479999999999166e+01
1.800000099999999805e-07 2.665980000000000132e+02
2.400000099999999619e-07 3.881929999999999836e+02
2.999999999999999864e-07 4.425909999999999513e+02
3.599999999999999943e-07 4.521909999999999741e+02
4.200000000000000022e-07 4.489909999999999854e+02
4.799999999999999571e-07 4.233919999999999959e+02
5.400000000000000179e-07 3.913929999999999723e+02
5.999999999999999728e-07 3.593940000000000055e+02
6.599999999999999278e-07 3.145960000000000036e+02
7.199999999999999886e-07 2.825969999999999800e+02
7.799999999999999435e-07 2.473990000000000009e+02
8.400000000000000043e-07 2.057999999999999829e+02
8.999999999999999593e-07 1.706009999999999991e+02
9.599999999999999142e-07 1.354029999999999916e+02
1.019999999999999975e-06 1.162040000000000077e+02
1.080000000000000036e-06 9.060450000000000159e+01
1.140000000000000097e-06 7.140529999999999688e+01
1.200000299999999975e-06 6.500549999999999784e+01
1.260000300000000036e-06 5.860579999999999501e+01
1.320000300000000097e-06 4.260640000000000782e+01
1.380000300000000158e-06 3.300679999999999836e+01
1.440000300000000007e-06 2.340709999999999980e+01
1.500000300000000067e-06 2.980689999999999884e+01
1.560000300000000128e-06 1.700740000000000052e+01
1.620000299999999977e-06 1.700740000000000052e+01
1.680000300000000038e-06 1.060759999999999970e+01
